Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-03-04 05:17:40;255.97
2023-03-04 05:32:40;255.03
2023-03-04 05:47:40;254.78
2023-03-04 06:02:40;255.41
2023-03-04 06:17:40;256.25
2023-03-04 06:32:40;251.94
2023-03-04 06:47:40;255.78
2023-03-04 07:02:40;256.81
2023-03-04 07:17:40;255.97
2023-03-04 07:32:40;255.0
2023-03-04 07:47:40;254.72
2023-03-04 08:02:40;254.0
2023-03-04 08:17:40;253.03
2023-03-04 08:32:40;253.38
2023-03-04 08:47:40;253.5
2023-03-04 09:02:40;252.56
2023-03-04 09:17:40;252.94
2023-03-04 09:32:40;253.69
2023-03-04 09:47:40;253.81
2023-03-04 10:02:40;254.53
2023-03-04 10:17:40;255.16
2023-03-04 10:32:40;255.16
2023-03-04 10:47:40;255.03
2023-03-04 11:02:40;255.66
2023-03-04 11:17:40;254.97
2023-03-04 11:32:40;255.06
2023-03-04 11:47:40;255.31
2023-03-04 12:02:40;254.41
2023-03-04 12:17:40;253.91
2023-03-04 12:32:40;252.72
2023-03-04 12:47:40;252.81
2023-03-04 13:02:40;252.75
2023-03-04 13:17:40;253.66
2023-03-04 13:32:40;254.88
2023-03-04 13:47:40;254.44
2023-03-04 14:02:40;254.38
2023-03-04 14:17:40;254.66
2023-03-04 14:32:40;255.47
2023-03-04 14:47:40;254.72
2023-03-04 15:02:40;254.34
2023-03-04 15:17:40;254.97
2023-03-04 15:32:40;255.63
2023-03-04 15:47:40;255.38
2023-03-04 16:02:40;254.97
2023-03-04 16:17:40;255.88
2023-03-04 16:32:40;254.78
2023-03-04 16:47:40;255.75
2023-03-04 17:02:40;256.09
2023-03-04 17:17:40;255.28
2023-03-04 17:32:40;255.28
2023-03-04 17:47:40;256.25
2023-03-04 18:02:40;255.63
2023-03-04 18:17:40;255.56
2023-03-04 18:32:40;255.09
2023-03-04 18:47:40;255.56
2023-03-04 19:02:40;255.28
2023-03-04 19:17:40;255.28
2023-03-04 19:32:40;256.56
2023-03-04 19:47:40;255.97
2023-03-04 20:02:40;255.84
2023-03-04 20:17:40;256.53
2023-03-04 20:32:40;256.5
2023-03-04 20:47:40;256.19
2023-03-04 21:02:40;255.13
2023-03-04 21:17:40;255.38
2023-03-04 21:32:40;255.81
2023-03-04 21:47:40;255.88
2023-03-04 22:02:40;256.66
2023-03-04 22:17:40;256.31
2023-03-04 22:32:40;256.47
2023-03-04 22:47:40;256.97
2023-03-04 23:02:40;256.63
2023-03-04 23:17:40;251.69
2023-03-04 23:32:40;255.84
2023-03-04 23:47:40;254.72
2023-03-05 00:02:40;255.16
2023-03-05 00:17:40;256.03
2023-03-05 00:32:40;254.25
2023-03-05 00:47:40;255.22
2023-03-05 01:02:40;255.63
2023-03-05 01:17:40;254.91
2023-03-05 01:32:40;256.69
2023-03-05 01:47:40;252.97
2023-03-05 02:02:40;256.22
2023-03-05 02:17:40;253.88
2023-03-05 02:32:40;255.91
2023-03-05 02:47:40;253.63
2023-03-05 03:02:40;256.16
2023-03-05 03:17:40;254.5
2023-03-05 03:32:40;255.25
2023-03-05 03:47:40;253.53
2023-03-05 04:02:40;256.31
2023-03-05 04:17:40;254.88
2023-03-05 04:32:40;255.22
2023-03-05 04:47:40;257.16
2023-03-05 05:02:40;253.0
2023-03-05 05:17:40;256.84
2023-03-05 05:32:40;254.13
2023-03-05 05:47:40;255.56
2023-03-05 06:02:40;254.78
2023-03-05 06:17:40;254.69
2023-03-05 06:32:40;255.72
2023-03-05 06:47:40;256.03
2023-03-05 07:02:40;255.94
2023-03-05 07:17:40;256.0
2023-03-05 07:32:40;255.81
2023-03-05 07:47:40;256.0
2023-03-05 08:02:40;255.78
2023-03-05 08:17:40;254.84
2023-03-05 08:32:40;253.56
2023-03-05 08:47:40;253.28
2023-03-05 09:02:40;253.31
2023-03-05 09:17:40;253.91
2023-03-05 09:32:40;253.19
2023-03-05 09:47:40;253.09
2023-03-05 10:02:40;252.78
2023-03-05 10:17:40;253.69
2023-03-05 10:32:40;254.38
2023-03-05 10:47:40;254.66
2023-03-05 11:02:40;255.28
2023-03-05 11:17:40;254.81
2023-03-05 11:32:40;255.94
2023-03-05 11:47:40;255.56
2023-03-05 12:02:40;255.44
2023-03-05 12:17:40;254.56
2023-03-05 12:32:40;255.06
2023-03-05 12:47:40;255.31
2023-03-05 13:02:40;255.41
2023-03-05 13:17:40;255.72
2023-03-05 13:32:40;255.78
2023-03-05 13:47:40;255.97
2023-03-05 14:02:40;256.13
2023-03-05 14:17:40;255.41
2023-03-05 14:32:40;255.63
2023-03-05 14:47:40;255.66
2023-03-05 15:02:40;256.66
2023-03-05 15:17:40;256.44
2023-03-05 15:32:40;256.28
2023-03-05 15:47:40;256.5
2023-03-05 16:02:40;256.34
2023-03-05 16:17:40;256.88
2023-03-05 16:32:40;255.66
2023-03-05 16:47:40;254.97
2023-03-05 17:02:40;254.16
2023-03-05 17:17:40;254.34
2023-03-05 17:32:40;253.72
2023-03-05 17:47:40;253.09
2023-03-05 18:02:40;254.0
2023-03-05 18:17:40;253.81
2023-03-05 18:32:40;254.13
2023-03-05 18:47:40;253.59
2023-03-05 19:02:40;253.31
2023-03-05 19:17:40;253.88
2023-03-05 19:32:40;253.63
2023-03-05 19:47:40;253.63
2023-03-05 20:02:40;254.81
2023-03-05 20:17:40;254.56
2023-03-05 20:32:40;255.41
2023-03-05 20:47:40;256.16
2023-03-05 21:02:40;256.38
2023-03-05 21:17:40;256.78
2023-03-05 21:32:40;256.22
2023-03-05 21:47:40;256.97
2023-03-05 22:02:40;251.69
2023-03-05 22:17:40;255.97
2023-03-05 22:32:40;255.75
2023-03-05 22:47:40;256.44
2023-03-05 23:02:40;253.63
2023-03-05 23:17:40;256.38
2023-03-05 23:32:40;252.78
2023-03-05 23:47:40;256.13
